"","region","Fall","Winter","Spring","Summer"
"1","VIL",0.248635710244343,0.295421788721909,0.365695845432428,0.379480318534681
"2","SIR",0.355774824521092,0.225154510084611,0.365739705967119,0.501961349442293
"3","NRM",0.593440727064119,0.434451052604445,0.307760264507425,0.519240373058859
"4","SEM",0.553796328125862,0.528163152285283,0.533334096580765,0.215491127955804
"5","NCM",0.794389695324127,0.604689426903753,0.553515044176932,0.260884331709618
"6","CCM",0.592897077670372,0.346980802131808,0.423773440448928,0.366315504608962
"7","SCM",0.26722400766008,0.163041714277261,0.406579378073859,0.527929192844472
"8","NIR",0.809067713931547,0.431676163750277,0.465923981032029,0.451946442248775
"9","CRM",0.227609592135164,0.108607126241116,0.187370612332901,0.353741316339811
"10","SRM",0.164939868972501,0.0286128175475653,0.0845879495720106,0.339493067203194
